gbifID,abstract,accessRights,accrualMethod,accrualPeriodicity,accrualPolicy,alternative,audience,available,bibliographicCitation,conformsTo,contributor,coverage,created,creator,date,dateAccepted,dateCopyrighted,dateSubmitted,description,educationLevel,extent,format,hasFormat,hasPart,hasVersion,identifier,instructionalMethod,isFormatOf,isPartOf,isReferencedBy,isReplacedBy,isRequiredBy,isVersionOf,issued,language,license,mediator,medium,modified,provenance,publisher,references,relation,replaces,requires,rights,rightsHolder,source,spatial,subject,tableOfContents,temporal,title,type,valid,institutionID,collectionID,datasetID,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,informationWithheld,dataGeneralizations,dynamicProperties,occurrenceID,catalogNumber,recordNumber,recordedBy,individualCount,organismQuantity,organismQuantityType,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,occurrenceStatus,preparations,disposition,associatedReferences,associatedSequences,associatedTaxa,otherCatalogNumbers,occurrenceRemarks,organismID,organismName,organismScope,associatedOccurrences,associatedOrganisms,previousIdentifications,organismRemarks,materialSampleID,eventID,parentEventID,fieldNumber,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,fieldNotes,eventRemarks,locationID,higherGeographyID,higherGeography,continent,waterBody,islandGroup,island,countryCode,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,verbatimDepth,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,locationAccordingTo,locationRemarks,coordinateUncertaintyInMeters,coordinatePrecision,pointRadiusSpatialFit,verbatimCoordinateSystem,verbatimSRS,footprintWKT,footprintSRS,footprintSpatialFit,georeferencedBy,georeferencedDate,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,geologicalContextID,earliestEonOrLowestEonothem,latestEonOrHighestEonothem,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,lithostratigraphicTerms,group,formation,member,bed,identificationID,identificationQualifier,typeStatus,identifiedBy,dateIdentified,identificationReferences,identificationVerificationStatus,identificationRemarks,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,datasetKey,publishingCountry,lastInterpreted,elevation,elevationAccuracy,depth,depthAccuracy,distanceAboveSurface,distanceAboveSurfaceAccuracy,issue,mediaType,hasCoordinate,hasGeospatialIssues,taxonKey,acceptedTaxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,subgenusKey,speciesKey,species,genericName,acceptedScientificName,verbatimScientificName,typifiedName,protocol,lastParsed,lastCrawled,repatriated,relativeOrganismQuantity,recordedByID,identifiedByID,hex_ids
2574225363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34559819,NA,NA,NA,NA,NA,NA,NA,NA,NA,CC_BY_NC_4_0,NA,NA,2020-02-08T13:56:01Z,NA,NA,https://www.inaturalist.org/observations/34559819,NA,NA,NA,© impermanence some rights reserved,impermanence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,iNaturalist,Observations,iNaturalist research-grade observations,NA,HUMAN_OBSERVATION,,NA,NA,https://www.inaturalist.org/observations/34559819,34559819,NA,impermanence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-10-18T18:17:34,18:17:34Z,NA,NA,2019,10,18,Fri Oct 18 2019 18:17:34 GMT-0500 (CDT),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,US,Minnesota,NA,NA,NA,"Smith Park Pond, Bloomington, MN, US",NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74957561,NA,NA,NA,2019-10-18T23:17:42,NA,NA,,47911,NA,NA,NA,NA,NA,NA,NA,Asclepias syriaca L.,NA,NA,NA,NA,NA,NA,NA,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Asclepias,NA,syriaca,NA,SPECIES,NA,NA,NA,ACCEPTED,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2020-04-29T02:37:18.447Z,NA,NA,NA,NA,NA,NA,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,StillImage,TRUE,FALSE,3170247,3170247,6,7707728,220,412,6701,3170229,NA,3170247,Asclepias syriaca,Asclepias,Asclepias syriaca L.,Asclepias syriaca,NA,DWC_ARCHIVE,2020-04-29T02:37:18.447Z,2020-04-29T01:20:22.928Z,FALSE,NA,,,8896
2451587000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29720904,NA,NA,NA,NA,NA,NA,NA,NA,NA,CC_BY_NC_4_0,NA,NA,2019-11-05T20:17:00Z,NA,NA,https://www.inaturalist.org/observations/29720904,NA,NA,NA,© kimwiese some rights reserved,kimwiese,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,iNaturalist,Observations,iNaturalist research-grade observations,NA,HUMAN_OBSERVATION,,NA,NA,https://www.inaturalist.org/observations/29720904,29720904,NA,kimwiese,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-10T20:27:14,20:27:14Z,NA,NA,2019,7,10,Wed Jul 10 2019 20:27:14 GMT-0500 (CDT),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,US,Minnesota,NA,NA,NA,"2375 Carter Ave, Saint Paul, MN, US",NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64479464,NA,NA,NA,2019-07-28T17:11:13,NA,NA,,47911,NA,NA,NA,NA,NA,NA,NA,Asclepias syriaca L.,NA,NA,NA,NA,NA,NA,NA,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Asclepias,NA,syriaca,NA,SPECIES,NA,NA,NA,ACCEPTED,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2020-04-29T02:37:18.650Z,NA,NA,NA,NA,NA,NA,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,StillImage,TRUE,FALSE,3170247,3170247,6,7707728,220,412,6701,3170229,NA,3170247,Asclepias syriaca,Asclepias,Asclepias syriaca L.,Asclepias syriaca,NA,DWC_ARCHIVE,2020-04-29T02:37:18.650Z,2020-04-29T01:20:22.928Z,FALSE,NA,,,8896
2429345102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33753698,NA,NA,NA,NA,NA,NA,NA,NA,NA,CC_BY_NC_4_0,NA,NA,2019-10-03T05:48:16Z,NA,NA,https://www.inaturalist.org/observations/33753698,NA,NA,NA,© mollswilson some rights reserved,mollswilson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,iNaturalist,Observations,iNaturalist research-grade observations,NA,HUMAN_OBSERVATION,,NA,NA,https://www.inaturalist.org/observations/33753698,33753698,NA,mollswilson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-09-11T14:38:16,14:38:16Z,NA,NA,2019,9,11,2019-09-11 2:38:16 PM CDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,US,Minnesota,NA,NA,NA,"Columbia Heights, MN 55421, USA",NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,47911,NA,NA,NA,NA,NA,NA,NA,Asclepias syriaca L.,NA,NA,NA,NA,NA,NA,NA,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Asclepias,NA,syriaca,NA,SPECIES,NA,NA,NA,ACCEPTED,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2020-04-29T02:37:18.226Z,NA,NA,NA,NA,NA,NA,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,StillImage,TRUE,FALSE,3170247,3170247,6,7707728,220,412,6701,3170229,NA,3170247,Asclepias syriaca,Asclepias,Asclepias syriaca L.,Asclepias syriaca,NA,DWC_ARCHIVE,2020-04-29T02:37:18.226Z,2020-04-29T01:20:22.928Z,FALSE,NA,,,8896
2423243134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33413673,NA,NA,NA,NA,NA,NA,NA,NA,NA,CC_BY_NC_4_0,NA,NA,2019-09-26T17:13:26Z,NA,NA,https://www.inaturalist.org/observations/33413673,NA,NA,NA,© tange049 some rights reserved,tange049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,iNaturalist,Observations,iNaturalist research-grade observations,NA,HUMAN_OBSERVATION,,NA,NA,https://www.inaturalist.org/observations/33413673,33413673,NA,tange049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-09-21T11:08:39,16:08:39Z,NA,NA,2019,9,21,Sat Sep 21 2019 11:08:39 GMT-0500 (CDT),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,US,Minnesota,NA,NA,NA,"12th Ave SE, Minneapolis, MN, US",NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72337505,NA,NA,NA,2019-09-26T05:24:52,NA,NA,,47911,NA,NA,NA,NA,NA,NA,NA,Asclepias syriaca L.,NA,NA,NA,NA,NA,NA,NA,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Asclepias,NA,syriaca,NA,SPECIES,NA,NA,NA,ACCEPTED,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2020-04-29T02:38:02.004Z,NA,NA,NA,NA,NA,NA,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,StillImage,TRUE,FALSE,3170247,3170247,6,7707728,220,412,6701,3170229,NA,3170247,Asclepias syriaca,Asclepias,Asclepias syriaca L.,Asclepias syriaca,NA,DWC_ARCHIVE,2020-04-29T02:38:02.004Z,2020-04-29T01:20:22.928Z,FALSE,NA,,,8896
2423241872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33413692,NA,NA,NA,NA,NA,NA,NA,NA,NA,CC_BY_NC_4_0,NA,NA,2019-09-26T18:54:52Z,NA,NA,https://www.inaturalist.org/observations/33413692,NA,NA,NA,© tange049 some rights reserved,tange049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,iNaturalist,Observations,iNaturalist research-grade observations,NA,HUMAN_OBSERVATION,,NA,NA,https://www.inaturalist.org/observations/33413692,33413692,NA,tange049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-09-21T11:08:56,16:08:56Z,NA,NA,2019,9,21,Sat Sep 21 2019 11:08:56 GMT-0500 (CDT),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,US,Minnesota,NA,NA,NA,"12th Ave SE, Minneapolis, MN, US",NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72401949,NA,NA,NA,2019-09-26T18:54:52,NA,NA,,47911,NA,NA,NA,NA,NA,NA,NA,Asclepias syriaca L.,NA,NA,NA,NA,NA,NA,NA,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Asclepias,NA,syriaca,NA,SPECIES,NA,NA,NA,ACCEPTED,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2020-04-29T02:37:59.201Z,NA,NA,NA,NA,NA,NA,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,StillImage,TRUE,FALSE,3170247,3170247,6,7707728,220,412,6701,3170229,NA,3170247,Asclepias syriaca,Asclepias,Asclepias syriaca L.,Asclepias syriaca,NA,DWC_ARCHIVE,2020-04-29T02:37:59.201Z,2020-04-29T01:20:22.928Z,FALSE,NA,,,8896
2423118935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32908555,NA,NA,NA,NA,NA,NA,NA,NA,NA,CC_BY_NC_4_0,NA,NA,2019-09-18T05:14:04Z,NA,NA,https://www.inaturalist.org/observations/32908555,NA,NA,NA,© ap90 some rights reserved,ap90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,iNaturalist,Observations,iNaturalist research-grade observations,NA,HUMAN_OBSERVATION,,NA,NA,https://www.inaturalist.org/observations/32908555,32908555,NA,ap90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-09-17T14:19:21,19:19:21Z,NA,NA,2019,9,17,Tue Sep 17 2019 14:19:21 GMT-0500 (CDT),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,US,Minnesota,NA,NA,NA,"University of Minnesota - St. Paul Campus, Falcon Heights, MN, US",NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71275825,NA,NA,NA,2019-09-17T19:33:13,NA,NA,,47911,NA,NA,NA,NA,NA,NA,NA,Asclepias syriaca L.,NA,NA,NA,NA,NA,NA,NA,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Asclepias,NA,syriaca,NA,SPECIES,NA,NA,NA,ACCEPTED,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2020-04-29T02:37:18.286Z,NA,NA,NA,NA,NA,NA,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,StillImage,TRUE,FALSE,3170247,3170247,6,7707728,220,412,6701,3170229,NA,3170247,Asclepias syriaca,Asclepias,Asclepias syriaca L.,Asclepias syriaca,NA,DWC_ARCHIVE,2020-04-29T02:37:18.286Z,2020-04-29T01:20:22.928Z,FALSE,NA,,,8896
2423024048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32545235,NA,NA,NA,NA,NA,NA,NA,NA,NA,CC_BY_NC_4_0,NA,NA,2019-09-21T22:30:35Z,NA,NA,https://www.inaturalist.org/observations/32545235,NA,NA,NA,© nina612 some rights reserved,nina612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,iNaturalist,Observations,iNaturalist research-grade observations,NA,HUMAN_OBSERVATION,,NA,NA,https://www.inaturalist.org/observations/32545235,32545235,NA,nina612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-09-11T14:36:28,14:36:28Z,NA,NA,2019,9,11,Wed Sep 11 2019 14:36:28 GMT-0500 (CDT),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,US,Minnesota,NA,NA,NA,"Columbia Heights High School, Columbia Heights, MN, US",NA,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70516173,NA,NA,NA,2019-09-11T19:37:49,NA,NA,,47911,NA,NA,NA,NA,NA,NA,NA,Asclepias syriaca L.,NA,NA,NA,NA,NA,NA,NA,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Asclepias,NA,syriaca,NA,SPECIES,NA,NA,NA,ACCEPTED,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2020-04-29T02:37:21.281Z,NA,NA,NA,NA,NA,NA,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,StillImage,TRUE,FALSE,3170247,3170247,6,7707728,220,412,6701,3170229,NA,3170247,Asclepias syriaca,Asclepias,Asclepias syriaca L.,Asclepias syriaca,NA,DWC_ARCHIVE,2020-04-29T02:37:21.281Z,2020-04-29T01:20:22.928Z,FALSE,NA,,,8896
2311422193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29983816,NA,NA,NA,NA,NA,NA,NA,NA,NA,CC_BY_NC_4_0,NA,NA,2019-08-01T16:01:47Z,NA,NA,https://www.inaturalist.org/observations/29983816,NA,NA,NA,© artfemme some rights reserved,artfemme,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,iNaturalist,Observations,iNaturalist research-grade observations,NA,HUMAN_OBSERVATION,,NA,NA,https://www.inaturalist.org/observations/29983816,29983816,NA,artfemme,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-08-01T10:38:25,10:38:25Z,NA,NA,2019,8,1,Thu Aug 01 2019 10:38:25 GMT-0500 (CDT),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,US,Minnesota,NA,NA,NA,"3424 Lee Ave N, Crystal, MN, US",NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65058426,NA,NA,NA,2019-08-01T15:38:57,NA,NA,,47911,NA,NA,NA,NA,NA,NA,NA,Asclepias syriaca L.,NA,NA,NA,NA,NA,NA,NA,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Asclepias,NA,syriaca,NA,SPECIES,NA,NA,NA,ACCEPTED,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2020-04-29T02:37:25.082Z,NA,NA,NA,NA,NA,NA,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84,StillImage,TRUE,FALSE,3170247,3170247,6,7707728,220,412,6701,3170229,NA,3170247,Asclepias syriaca,Asclepias,Asclepias syriaca L.,Asclepias syriaca,NA,DWC_ARCHIVE,2020-04-29T02:37:25.082Z,2020-04-29T01:20:22.928Z,FALSE,NA,,,8896
