hex_ids,inat_obs,quan_est,phen_est,phest_est
36,2,165,NA,NA
75,7,208,135.1651138,187.515499
94,2,209,192.4145966,NA
95,3,158,100.7242153,115.6333642
112,8,209,148.381392,179.6618888
125,18,121,112.3800964,98.95889902
-140976.1908,-140972.2124,-140976.1306,-140976.8769,-140980.2353
148,2,264,251.8895862,NA
194,11,175,151.1260587,139.4098648
204,3,125,122.2951296,NA
209,18,122,96.48147117,88.42383067
128473.261,128476.5033,128470.0835,127455.0625,127516.5687
263,3,173,135.0367391,28.88486932
309,2,230,180.2598521,NA
325,3,174,114.8431416,3.752370291
335,13,209,199.4497777,181.7319104
346,3,111,28.12522375,NA
352,5,205,192.2330988,157.3107885
358,2,197,99.77279806,NA
367,56,151,139.4500131,136.6648381
490236.2065,490975.8511,491366.6145,491948.9811,491956.7368
131463.0215,131331.6629,131330.0771,131666.0897,135254.7904
142329.816,140949.5048,142013.5755,141945.5214,141880.4741
368,2,172,93.04916745,NA
382,4,201,108.2145686,169.5675166
383,3,211,161.6262624,19.82336217
397,7,254,NA,NA
398,3,211,166.9147382,186.9651025
399,6,206,181.5486505,NA
401,2,245,238.4461265,NA
415,10,174,122.6214227,160.9408516
419,4,203,171.6892637,126.7370857
435,2,134,31.84552118,NA
436,7,215,119.4871217,214.3322337
437,4,173,110.6941925,144.1052968
449,4,231,201.3913063,NA
453,2,186,67.43666094,NA
454,2,176,NA,NA
468,11,135,90.48974659,109.3488689
484,2,215,191.7466625,NA
498,3,193,155.4155624,NA
499,2,190,72.94156084,NA
516,3,186,117.250931,97.9580837
531,13,173,117.4927113,168.2753317
544,13,193,170.4481028,164.4023222
547,8,181,148.1566491,168.1215005
548,21,143,80.67035142,136.4117806
513321.9164,511045.1726,513831.4063,515217.21,510960.5867
558,21,193,150.1366326,188.1587385
247328.5027,247335.8404,247338.5043,247350.5216,247703.4254
559,2,193,95.66001572,NA
563,28,136,116.17645,126.8985183
499501.6581,491067.6095,508058.4721,498334.2419,498267.5032
),,,,
568,3,164,115.6472311,NA
578,3,175,140.1065286,60.13004239
579,159,136,134.4367382,NA
681136.8308,681501.0632,681506.2125,681826.001,681834.0571
687624.2818,687645.5081,687679.1977,687697.2654,687711.9211
688172.8275,688200.3119,688205.8687,688232.0709,688232.529
688523.3337,689170.6946,689333.2421,689364.8764,689393.7235
690732.2472,690733.2634,690733.7556,690735.2531,690735.6166
517673.9534,517359.5815,531665.0541,531135.628,516250.6418
533212.1443,533216.6254,533209.8908,523413.6218,523618.2316
527010.9852,526146.1823,526311.6541,526259.7707,526159.5609
525231.0586,525231.6779,525115.9808,525101.2656,525100.5876
521177.2193,519539.7576,519754.6336,519540.0647,519624.4548
519148.0098,518646.6049, 518646.822934894),,
591,3,227,177.7435624,NA
593,2,214,NA,NA
594,67,133,120.1790667,126.3961381
511125.3108,510732.178,510436.1791,510720.3706,510871.7153
625,2,136,78.78243149,NA
626,7,143,112.2756789,67.65183643
638,220,222,211.0399264,NA
732077.7471,732078.0787,732078.4029,732078.4649,732078.5293
732081.5228,732081.9951,732082.7015,732083.2329,732083.8281
732090.5018,732091.0023,732091.0686,732091.4887,732091.5902
732102.6064,732102.8015,732103.133,732103.135,732103.2524
732111.8507,732111.8803,732112.8207,732112.833,732112.877
732116.5096,732116.652,732116.8502,732116.936,732116.9899
732124.5374,732124.6783,732124.6912,732127.3426,732128.2779
253973.6758,253970.5755,253987.5483,253971.6083,253971.6126
253951.557,253952.1761,253953.8168,253970.3515,253976.4379
253947.3345,253949.7999,253947.0673,253951.6787,253965.5706
253934.2744,253996.6008,253931.1666,253932.9214,253939.327
254001.8649,253961.2342,253933.6434,253936.3592,253912.3684
253953.0669,253972.6264,253951.7495,253948.1663,253968.9174
253932.9753,253962.1375,253962.0798,253994.0668,253991.5782
253945.2051, 253944.172861356),,,
669,2,244,NA,NA
671,8,187,136.0219605,176.3241179
679,2,219,174.8622459,NA
689,2,142,10.03077598,NA
710,16,153,142.1496765,128.137967
-116351.6886,-120352.1016,-120231.36, -120233.273558934),
711,3,231,215.1298831,35.26316952
717,5,164,121.5213636,116.1626479
718,4,169,136.7681681,99.29910387
726,6,176,140.0228751,103.1796344
733,7,203,171.2411295,188.3588343
734,20,166,117.7185164,159.5829101
317589.2724,305328.582,304472.0656,306415.5745,306406.4944
735,3,214,156.8006667,189.9955293
736,2,229,226.3061275,NA
742,2,170,NA,NA
749,10,162,105.4172109,150.9446674
763,2,181,NA,NA
764,2,175,73.49411206,NA
765,2,209,164.5800551,NA
766,2,232,202.1507729,NA
778,5,183,152.0880001,17.82442662
790,2,189,NA,NA
793,3,203,147.790993,155.3270349
798,5,220,132.9332014,216.3347937
809,18,214,198.4414263,197.6590823
815,3,200,148.4714058,141.7549113
820,3,221,162.6968924,216.5340175
828,5,200,168.9105165,117.4041771
832,2,215,198.2608794,NA
843,2,204,190.4132739,NA
852,2,303,NA,NA
858,2,226,207.5969191,NA
871,3,218,187.675565,111.9718564
872,2,192,93.04993571,NA
874,7,196,151.9506284,168.8452451
875,2,241,218.4546918,NA
876,3,165,83.38159825,-204.016877
889,2,219,145.1879321,NA
890,14,211,167.0431326,206.9988875
),,,,
904,6,233,164.8989059,228.1085818
906,36,151,146.5452591,138.5833934
243833.1529,243749.127,244989.6173,244929.2925,245031.198
907,15,175,155.016764,146.0014958
298015.7887, 278222.24368392),,,
916,3,225,180.6215916,217.3574702
919,2,221,173.1501394,NA
922,4,165,102.2072701,153.8334717
923,35,145,141.5525295,125.0835038
1012459.848,1012465.529,1012614.521,1015079.548,1016103.685
321800.4092,300791.446,300731.2042,300909.1506,301003.9481
927,14,135,92.95767367,91.02617572
934,9,215,186.6533969,205.0641863
938,3,173,103.1016043,126.9122563
939,4,188,101.5352485,-91.56184201
941,2,174,119.7129273,NA
943,2,188,77.53983496,NA
958,2,218,171.2520141,NA
960,3,180,124.9991858,NA
963,3,236,206.3551046,NA
970,2,223,NA,NA
975,3,203,160.0037849,-673.9206753
987,2,185,128.8882908,NA
989,2,192,151.0413676,NA
1001,2,223,NA,NA
1002,13,153,84.52255848,145.635376
1003,5,197,162.2005069,155.1713752
1016,2,206,118.7147089,NA
1019,108,167,135.889806,NA
1104202.355,1104266.354,1105372.432,1106227.9,1106324.635
1110805.117,1110806.355,1110807.361,1110811.299,1110820.65
1111006.992,1111012.479,1111030.992,1111058.984,1111189.893
355953.1728,372391.3501,360484.3905,360457.7587,356020.1656
365538.885,364258.7693,366527.047,366408.7387,366716.8349
367302.0995,367251.778,366810.7556,367187.5865,367156.6091
367349.5407,367386.8974,367346.658,367340.9803,367340.0335
1022,17,174,119.3344689,171.623963
1034,12,197,141.042388,189.1155255
1035,3,210,161.6035262,NA
1050,3,213,192.3217965,130.3055528
1052,2,184,158.822446,NA
1053,2,223,216.6755698,NA
1065,2,217,134.5707566,NA
1066,6,196,181.5519749,105.3616326
1067,5,208,170.308733,181.0468928
1068,4,198,111.9050984,187.3420491
1074,3,195,155.7727391,-213.2192116
1083,3,216,NA,NA
1084,10,179,139.6286472,154.7775346
1085,18,159,133.489374,140.6613794
524841.2391,524827.1851,524797.0243,524824.2472,524802.2823
1096,12,224,192.9260308,218.4184137
1099,9,172,125.9913523,154.3311377
1100,19,135,126.511338,109.7151337
485569.0656,496148.5406,487366.5129,494203.8403, 493415.319554043)
1101,10,176,140.3261294,151.607221
1116,13,135,126.2034123,95.0831523
1117,19,176,139.6802938,167.2971766
520961.2494,524871.077,518564.3041,536365.619,518755.5175
1121,3,204,196.9502425,NA
1122,3,229,188.9169185,135.1600473
1131,4,189,181.2256642,NA
1132,66,129,116.365769,124.6777399
1207322.197,1207438.955,1208347.017,1208393.745,1208398.309
500464.6822,507085.6089,494594.886,506806.7773,486305.2037
1133,15,145,116.8312386,123.7023176
),,,,
1145,2,172,45.53810771,NA
1146,2,208,105.9382854,NA
1147,6,176,100.3141661,170.1200645
1148,17,177,143.3834884,166.5829996
),,,,
1149,13,174,113.0950678,169.4759961
1163,2,223,185.3381058,NA
1164,2,234,NA,NA
1165,2,226,167.5160969,NA
1180,2,217,NA,NA
1196,5,201,184.1696909,182.2661554
1198,9,185,112.9806628,174.9012475
1201,3,182,93.70138192,171.2655897
1217,2,208,155.8463197,NA
1225,3,207,152.2243607,-397.0786027
1238,2,254,NA,NA
1244,4,210,161.7576666,172.5829291
1258,9,170,115.9017775,159.8011019
1259,3,206,194.6301691,NA
1265,2,222,137.7376226,NA
1273,11,185,158.070445,172.8163047
1274,8,186,131.7388554,172.2647534
1283,5,151,86.8535197,124.5435409
1288,3,176,101.3731283,-475.3011156
1290,24,163,120.9150183,151.9609839
442037.4111,443172.735,443134.2123,443140.2418,443134.2555
1291,2,195,155.3095227,NA
1292,8,208,180.6075025,198.1853493
1306,6,179,142.8473833,159.2436614
1322,2,209,140.2250824,NA
1327,5,231,223.0122434,97.84663399
1336,3,198,168.0047199,-625.7388207
1339,2,204,NA,NA
1359,3,236,199.9791983,NA
1363,2,204,116.0906516,NA
1375,3,151,55.25241081,-596.8821351
1384,2,204,179.3482736,NA
1403,2,212,156.8162794,NA
1407,2,261,231.5289982,NA
1410,4,245,223.6215714,212.8633855
1411,3,237,204.9328345,-683.1833679
1412,4,228,192.0496241,204.9350635
1427,2,198,116.8991606,NA
1439,11,200,154.5261279,186.0207879
1460,8,188,171.0932354,110.9777053
1461,10,176,102.0984413,164.2968279
1464,2,214,190.8187587,NA
1466,15,193,166.1412541,179.8486385
512417.4571, 521052.375568365),,,
1474,5,245,233.4299478,NA
1477,5,194,159.2654775,172.8249157
1478,2,217,197.4789517,NA
1494,7,175,121.6423729,149.1914763
1508,4,183,114.5081997,71.69722128
1509,3,187,179.1507821,NA
1524,49,178,152.2810456,174.4286496
1590449.009,1590775.868,1591121.126,1591984.055,1592202.095
325753.8965,309732.4198,303298.2533,303322.9273,313835.9914
311052.8229,311081.507,311032.6108,311038.8434,311045.6201
1525,7,224,194.3403305,213.223569
1526,10,239,223.6823739,233.2776747
1530,4,214,204.3754997,197.7296804
1537,2,256,NA,NA
1540,27,194,190.7000355,177.0836774
295517.647,300160.2548,300195.7435,300187.78,300510.0123
1541,24,202,157.06331,198.3134947
342185.3031,341508.4917,353426.5292,332154.7792,332169.7754
1542,6,194,156.9806262,150.158924
1545,3,200,130.2523138,162.9907532
1547,3,219,214.1381921,208.1637033
1553,8,233,208.9720665,230.2575099
1556,125,127,104.4673625,NA
1611721.049,1611805.324,1612298.546,1612552.523,1612632.447
1615838.195,1616002.803,1616018.82,1616041.065,1616077.739
1619424.377,1619444.503,1619446.094,1619523.305,1619549.533
1621454.558,1621607.5,1621795.312,1621824.83,1622096.527
314187.6423,309701.7282,327485.9933,316312.335,329410.9293
319139.1227,327137.0954,319241.6576,313688.8749,313616.6641
319698.1482,313777.1511,319991.9471,319962.8549,317818.3628
318065.8236,324040.5928,321263.3697,315278.0021,323905.7372
1557,4,215,147.6237133,203.0729076
1558,4,207,183.8671855,182.7253662
1559,3,218,158.7789932,193.9629184
1569,2,200,137.105516,NA
1572,22,188,150.8738381,181.6909556
290714.8839,290822.495,290539.0851,287663.8183,294703.0596
1573,70,163,144.0429035,159.5791691
1623265.665,1623345.088,1623583.139,1623772.359,1623979.812
1635705.372,1635883.106,1636601.231,1636639.59,1636796.893
336428.4813,336375.2899,332717.4985,336737.9238,328441.9775
328748.3542,331866.8437,332391.9169,333074.2298,332439.622
1574,5,222,197.1866265,144.0297849
1576,3,221,217.5747897,NA
1588,29,174,161.8702082,158.5159281
322169.273,321486.6871,322409.8496,321787.0506,321941.5343
1589,37,145,138.8953513,133.3978365
1645635.389,1645813.609,1645967.018,1645975.742,1646091.552
379919.1897,371316.5258,364230.9523,379365.4441,360614.2653
1590,4,216,126.3755708,211.1088296
1591,9,166,128.6830817,135.7622379
1602,4,235,186.4003763,59.52976416
1604,15,193,140.7291037,186.4140517
1605,6,205,179.3920151,159.6160207
1606,3,231,189.5524138,NA
1609,8,184,129.371937,168.3767969
1619,2,223,209.0821808,NA
1620,9,174,100.2258138,160.3462805
1621,4,212,132.8093502,174.1906145
1622,2,237,177.7477387,NA
1626,3,194,148.1188412,139.7943428
1632,9,207,137.8942383,204.3018673
1634,37,191,133.9424997,189.601713
1686126.69,1686141.592,1686194.902,1686220.819,1686425.409
232935.6142,232808.7598,233004.5663,232633.6331,251152.0835
1636,9,196,126.7942138,173.028337
1637,3,254,239.4274198,247.4568067
1638,2,256,240.8088991,NA
1642,3,263,240.512903,184.4508966
1649,2,307,NA,NA
1651,2,216,194.7177888,NA
1652,2,224,NA,NA
1655,2,224,212.0789725,NA
1656,3,216,197.2435129,-110.8488157
1657,3,201,164.0609941,-544.3646797
1664,7,192,116.8748711,170.5954482
1667,3,216,187.5399081,NA
1670,22,181,169.292685,162.3675603
432420.2552,431774.8943,448933.1135,449247.1817,458082.04
1671,13,201,188.0415703,167.2302128
1672,5,235,176.842298,214.5835618
1674,3,211,162.8711509,-845.3655825
1680,13,224,207.596989,212.3887994
1685,3,149,48.67105809,44.48210557
1686,4,126,54.48558717,19.39590816
1687,13,186,139.8661293,173.8294524
1688,2,229,180.2196205,NA
1689,6,188,172.0227109,86.00933375
1697,2,287,284.3729216,NA
1700,2,225,142.3743128,NA
1702,3,150,66.22286411,NA
1703,10,195,143.1598188,182.5948423
1704,10,189,146.8892031,163.4935443
1705,2,188,129.7459813,NA
1713,3,226,159.1252769,3.681643321
1720,40,127,100.3186233,100.3533138
1753293.45,1753344.463,1757097.26,1757754.712,1758459.106
468413.081,480128.1878,483236.8083,465461.9041,482644.3962
1721,6,199,171.8751101,175.6488522
1724,2,245,217.1233486,NA
1728,3,180,165.716363,128.8157341
1733,4,182,141.3409416,170.2294298
1735,2,235,NA,NA
1736,8,206,153.2793721,194.9462091
1737,107,188,157.6521861,NA
1740,2,242,198.8332466,NA
1750,42,35,-83.73216258,-14.45252284
1794048.355,1794048.573,1794052.182,1794053.303,1794054.169
359867.2774,360527.6487,360751.4275,360298.1217,376362.219
1752,2,208,NA,NA
1753,29,167,154.3729588,157.4998213
1754,52,186,144.4617555,183.677249
570926.9483,570922.3305,570981.8269,571467.3097,561665.7128
1756,3,202,77.98868708,194.1828717
1767,5,261,236.8489451,242.6343419
1768,2,223,NA,NA
1769,4,176,100.8594415,68.91514202
1770,23,190,134.2212497,186.7873152
541102.97,540261.4041,538288.5316,562122.3968,540199.2667
1771,14,262,257.4502568,257.6399497
),,,,
1772,8,224,154.0248698,212.5991434
1773,8,229,186.4807989,219.7241054
1782,3,291,282.4784529,286.5490623
1783,4,160,137.1892622,24.84897993
1785,2,194,83.52622041,NA
1786,265,111,82.16272013,NA
1825855.436,1825860.152,1825862.261,1825862.428,1825865.22
1826963.368,1826964.019,1827057.949,1827072.254,1827076.436
1827675.17,1827677.281,1827735.274,1827746.244,1827764.629
1827970.436,1827977.921,1828086.152,1828122.196,1828199.371
1828370.29,1828372.972,1828379.287,1828418.565,1828473.791
1828721.193,1828722.223,1828722.799,1828722.874,1828724.465
1828734.068,1828734.221,1828734.351,1828734.423,1828734.502
1829638.173,1829790.452,1829844.919,1829852.765,1830377.002
1831118.653,1831149.899,1831156.004,1831175.552,1831177.463
575876.9727,575877.0008,576518.7147,571006.4773,569457.5674
570981.1633,569770.1761,572350.8032,572263.0532,561482.0258
580409.1057,580393.1076,580106.0194,579020.8135,580533.9247
586698.5493,586693.2188,586691.8232,586688.7494,586693.6714
582117.5513,582122.2467,582125.3124,582127.0815,582070.5682
582259.7698,572915.2818,572912.2454,572915.6463,572750.486
572884.2591,572955.6129,572882.5858,572884.9222,572926.8371
572869.1203,572907.3163,572795.5146,572914.1589,572869.8288
582312.4126,582333.8956,582567.8308,568248.2863,582325.7624
1787,14,176,137.5197074,160.7051118
1788,12,197,163.1638554,179.528237
1802,14,198,165.0820115,182.6465426
1803,54,162,153.5681926,154.5898727
1832835.403,1832923.077,1833145.944,1833217.174,1833388.026
594588.3175,591480.367,589856.5759,591431.6942,602381.2453
598696.0159,585721.121,585714.9498,585829.4769,591004.7401
1804,10,196,140.9387419,180.202234
1818,23,206,152.6477331,203.5132763
579535.3031,585742.0199,565514.6359,565346.3166,561034.1822
1819,7,190,157.1843928,132.1788972
1820,3,209,160.9564907,NA
1835,2,223,214.7253772,NA
1836,6,230,197.9411049,204.4832358
1837,3,245,224.2287557,154.5814382
1850,3,192,93.45848873,178.9224709
1852,11,194,126.8850367,192.9519301
1868,6,229,202.5493398,195.2509765
1869,7,199,126.0428824,192.4098399
1885,3,192,151.7788098,144.8702398
1886,9,190,155.7637205,181.2450071
1899,4,191,137.0315252,131.1610656
1900,6,192,140.7095388,151.9017389
1901,3,259,249.3214034,256.7390604
1916,3,196,145.7343523,-92.97519452
1917,3,194,130.9322822,-66.68037788
1918,4,217,206.0774825,196.7329134
1932,3,209,180.6360511,106.6314683
1933,8,189,93.87472366,186.4572249
1949,11,214,186.7854033,188.2899785
1950,3,192,131.9167089,181.4816439
1981,3,224,182.6107971,206.5695389
1998,9,197,96.56548238,186.2679604
1999,2,196,73.41886663,NA
2014,2,203,114.0199379,NA
2030,4,248,211.5676512,NA
2048,3,186,171.878762,NA
2064,2,223,220.3964471,NA
2080,8,196,121.4796071,189.7989391
2096,6,220,169.0523029,198.5042577
2113,5,202,162.9436171,130.3560238
