"hex_ids","inat_obs","quan_est","phen_est","phest_est","jn_obs","benchmark","q_error","phest_error","phenesse_error"
75,7,208,135.134714427019,187.515499007701,6,126,82,61.5154990077012,9.13471442701874
112,8,209,149.898253923385,179.661888761472,2,121,88,58.6618887614723,28.8982539233845
194,11,175,151.387546449266,139.409864849063,4,126,49,13.4098648490626,25.3875464492656
263,3,173,133.570935893131,28.8848693150795,3,144,29,-115.11513068492,-10.4290641068688
309,2,230,178.736130559819,NA,1,128,102,NA,50.7361305598187
325,3,174,112.690541218433,3.75237029090954,5,136,38,-132.24762970909,-23.3094587815667
335,13,209,199.143822252331,181.73191040807,2,121,88,60.7319104080705,78.1438222523311
352,5,205,191.563590764033,157.31078849767,3,122,83,35.3107884976698,69.5635907640333
358,2,197,99.5684332701416,NA,2,135,62,NA,-35.4315667298584
367,56,151,138.551404476806,133.966981006795,11,103,48,30.9669810067946,35.5514044768065
368,2,172,94.8924250411576,NA,1,129,43,NA,-34.1075749588424
398,3,211,165.27182975133,186.965102503747,1,150,61,36.9651025037468,15.2718297513296
419,4,203,172.986700724492,126.737085732646,1,137,66,-10.2629142673539,35.9867007244919
435,2,134,31.5479474451907,NA,1,131,3,NA,-99.4520525548093
437,4,173,109.111101133187,144.105296845662,1,147,26,-2.89470315433823,-37.8888988668129
449,4,231,200.698805599999,NA,1,126,105,NA,74.6988055999985
454,2,176,NA,NA,1,142,34,NA,NA
499,2,190,72.382483167396,NA,1,140,50,NA,-67.617516832604
531,13,173,116.788669426033,168.275331653056,4,124,49,44.2753316530565,-7.21133057396685
544,13,193,171.687397295717,164.402322225802,2,124,69,40.4023222258022,47.6873972957174
547,8,181,149.129550694381,168.121500504713,4,128,53,40.1215005047127,21.1295506943807
548,21,143,81.8556162737384,136.411780601602,6,134,9,2.41178060160172,-52.1443837262616
563,28,136,115.777565753177,126.898518254357,10,127,9,-0.101481745643198,-11.2224342468231
568,3,164,115.754590031498,NA,1,120,44,NA,-4.2454099685022
578,3,175,141.007545518667,60.1300423894598,2,137,38,-76.8699576105402,4.00754551866672
579,159,136,134.671963174757,126.970280515921,16,134,2,-7.02971948407905,0.671963174756911
594,67,133,120.317646389244,123.250540330388,7,125,8,-1.74945966961226,-4.68235361075557
671,8,187,135.810636749386,176.324117884095,2,132,55,44.3241178840949,3.81063674938611
710,16,153,143.091425490913,128.137966974383,2,108,45,20.1379669743828,35.0914254909129
717,5,164,118.570504009882,116.16264786827,2,128,36,-11.8373521317304,-9.42949599011803
734,20,166,116.28659731818,159.582910144441,2,130,36,29.5829101444408,-13.7134026818201
735,3,214,157.975872355623,189.995529285713,1,178,36,11.9955292857134,-20.0241276443765
765,2,209,164.698036341356,NA,2,130,79,NA,34.698036341356
790,2,189,NA,NA,1,111,78,NA,NA
809,18,214,198.877167656879,197.6590823283,3,124,90,73.6590823282997,74.8771676568787
815,3,200,149.221957051109,141.754911269563,3,137,63,4.75491126956348,12.2219570511087
820,3,221,161.006942613811,216.534017503784,1,110,111,106.534017503784,51.0069426138111
843,2,204,190.106366314937,NA,1,160,44,NA,30.1063663149368
858,2,226,206.627928566027,NA,1,136,90,NA,70.6279285660272
871,3,218,187.478809668194,111.971856419418,1,168,50,-56.0281435805824,19.4788096681942
872,2,192,94.7596762797556,NA,1,170,22,NA,-75.2403237202444
874,7,196,151.990758215815,168.845245089666,1,132,64,36.8452450896655,19.9907582158149
875,2,241,218.754818960701,NA,1,127,114,NA,91.7548189607012
889,2,219,145.297680163571,NA,3,144,75,NA,1.29768016357124
890,14,211,168.577966284482,206.998887526954,1,130,81,76.9988875269545,38.5779662844818
904,6,233,164.418522956354,228.108581849676,2,126,107,102.108581849676,38.4185229563539
906,36,151,146.698924566564,131.194772803489,2,122,29,9.19477280348886,24.6989245665642
907,15,175,155.527047571555,146.001495778014,1,128,47,18.001495778014,27.5270475715548
922,4,165,101.710423790654,153.833471741156,5,132,33,21.8334717411564,-30.2895762093461
923,35,145,140.749332896843,126.14906204551,6,126,19,0.149062045509709,14.749332896843
927,14,135,95.2303235199668,91.0261757223073,4,134,1,-42.9738242776927,-38.7696764800332
934,9,215,187.269596995302,205.064186318521,1,150,65,55.064186318521,37.2695969953021
941,2,174,119.819413005472,NA,1,141,33,NA,-21.1805869945283
943,2,188,81.9564532744002,NA,2,136,52,NA,-54.0435467255998
960,3,180,126.11975456954,NA,1,136,44,NA,-9.88024543046021
987,2,185,130.066814790182,NA,1,133,52,NA,-2.93318520981836
1003,5,197,159.892211601252,155.171375187349,2,134,63,21.1713751873494,25.8922116012524
1019,108,167,136.7924917398,151.007400259306,3,164,3,-12.9925997406935,-27.2075082601999
1022,17,174,118.814649930454,171.623962999042,2,136,38,35.6239629990418,-17.1853500695455
1050,3,213,191.904290379448,130.305552760803,1,153,60,-22.6944472391973,38.9042903794482
1052,2,184,158.421257804616,NA,1,140,44,NA,18.4212578046159
1085,18,159,133.902356510659,140.661379431504,3,144,15,-3.338620568496,-10.0976434893411
1096,12,224,191.828614988545,218.418413685581,1,132,92,86.4184136855808,59.8286149885447
1116,13,135,127.515346735944,95.0831523011506,1,137,-2,-41.9168476988494,-9.48465326405648
1117,19,176,139.729911941674,167.297176579137,3,150,26,17.2971765791375,-10.2700880583263
1122,3,229,190.359693090484,135.16004726049,1,111,118,24.1600472604898,79.3596930904844
1132,66,129,116.388993232628,114.833755820193,3,137,-8,-22.1662441798069,-20.6110067673715
1133,15,145,117.831678190962,123.702317595267,5,136,9,-12.2976824047328,-18.1683218090384
1147,6,176,100.941123088117,170.120064479347,1,169,7,1.12006447934701,-68.0588769118833
1148,17,177,143.720945811356,166.582999586736,1,134,43,32.5829995867361,9.72094581135622
1149,13,174,112.953638393637,169.475996052355,1,148,26,21.4759960523545,-35.0463616063632
1198,9,185,115.218987503279,174.901247486468,1,184,1,-9.09875251353211,-68.7810124967214
1258,9,170,114.05660826722,159.801101892973,2,149,21,10.8011018929728,-34.9433917327804
1259,3,206,194.060831094968,NA,3,135,71,NA,59.060831094968
1274,8,186,133.305037471315,172.264753379879,1,138,48,34.2647533798792,-4.69496252868507
1283,5,151,85.5961172458862,124.543540922312,1,106,45,18.5435409223122,-20.4038827541138
1291,2,195,154.191550036626,NA,1,140,55,NA,14.191550036626
1327,5,231,222.729289195422,97.8466339921317,1,171,60,-73.1533660078683,51.729289195422
1359,3,236,199.649285824104,NA,2,108,128,NA,91.6492858241042
1375,3,151,55.5247376891074,-596.882135066317,2,110,41,-706.882135066317,-54.4752623108926
1410,4,245,223.170133929356,212.863385463934,1,111,134,101.863385463934,112.170133929356
1411,3,237,204.584528237071,-683.183367869614,1,209,28,-892.183367869614,-4.4154717629292
1439,11,200,152.038645051987,186.020787948085,2,118,82,68.0207879480847,34.038645051987
1460,8,188,171.590717365601,110.977705276953,1,187,1,-76.0222947230469,-15.4092826343995
1461,10,176,100.523110720168,164.296827906463,2,113,63,51.2968279064625,-12.476889279832
1466,15,193,165.207092734388,179.848638538796,3,129,64,50.8486385387957,36.2070927343885
1478,2,217,NA,NA,1,189,28,NA,NA
1494,7,175,123.59533894367,149.191476257772,2,129,46,20.1914762577722,-5.40466105633021
1509,3,187,179.102775150959,NA,1,122,65,NA,57.1027751509586
1524,49,178,152.381493027493,169.744341823568,5,127,51,42.7443418235675,25.3814930274932
1525,7,224,195.418942996495,213.223568976621,1,201,23,12.2235689766213,-5.58105700350467
1537,2,256,NA,NA,1,153,103,NA,NA
1540,27,194,190.050008744793,177.08367737738,1,193,1,-15.9163226226201,-2.94999125520658
1541,24,202,157.328600945905,198.313494713058,2,104,98,94.3134947130575,53.3286009459046
1545,3,200,130.511726555763,162.990753176246,1,176,24,-13.009246823754,-45.4882734442365
1547,3,219,214.156254295186,208.163703257787,1,197,22,11.1637032577869,17.1562542951859
1553,8,233,208.763919054958,230.257509904536,1,105,128,125.257509904536,103.763919054958
1556,125,127,104.685690485791,105.315165565825,10,121,6,-15.6848344341751,-16.3143095142089
1557,4,215,145.528102741311,203.072907604376,2,163,52,40.0729076043758,-17.4718972586887
1558,4,207,183.631662372311,182.725366165412,1,144,63,38.7253661654125,39.6316623723105
1559,3,218,158.265440829325,193.962918397398,1,176,42,17.962918397398,-17.7345591706749
1573,70,163,144.548492002178,149.285053389334,5,121,42,28.2850533893336,23.5484920021779
1576,3,221,217.456304515695,NA,1,184,37,NA,33.4563045156946
1589,37,145,139.776650380989,116.734930145,3,191,-46,-74.2650698550003,-51.2233496190113
1590,4,216,122.949599415768,211.108829603424,1,199,17,12.1088296034243,-76.0504005842317
1591,9,166,126.979706264571,135.762237883257,4,125,41,10.7622378832571,1.97970626457129
1604,15,193,142.781006433358,186.414051681707,5,111,82,75.4140516817072,31.7810064333578
1606,3,231,189.925849084319,NA,3,170,61,NA,19.9258490843189
1609,8,184,125.863866788041,168.376796934565,3,167,17,1.37679693456542,-41.136133211959
1619,2,223,209.464783895431,NA,2,122,101,NA,87.4647838954315
1622,2,237,174.974962763947,NA,2,151,86,NA,23.9749627639469
1626,3,194,149.910506825791,139.794342776289,2,188,6,-48.2056572237113,-38.0894931742085
1636,9,196,126.02417877494,173.028336986946,1,153,43,20.0283369869459,-26.9758212250599
1649,2,307,NA,NA,1,113,194,NA,NA
1652,2,224,199.851023946924,NA,2,116,108,NA,83.8510239469235
1656,3,216,195.517052646306,-110.848815712015,1,175,41,-285.848815712015,20.5170526463064
1664,7,192,122.05299166926,170.595448170098,6,104,88,66.5954481700983,18.0529916692596
1670,22,181,167.828138366754,162.367560346934,5,145,36,17.3675603469342,22.8281383667543
1671,13,201,188.13385561108,167.230212773409,1,186,15,-18.7697872265911,2.13385561108035
1672,5,235,175.67188966142,214.583561774442,3,160,75,54.5835617744424,15.6718896614205
1680,13,224,207.181566727574,212.388799387184,3,108,116,104.388799387184,99.1815667275737
1685,3,149,49.1774767021824,44.4821055689925,1,163,-14,-118.517894431008,-113.822523297818
1687,13,186,139.866498253901,173.82945237112,4,141,45,32.8294523711203,-1.1335017460986
1688,2,229,178.589828162099,NA,2,176,53,NA,2.58982816209874
1689,6,188,172.42774983733,86.0093337532008,1,123,65,-36.9906662467992,49.4277498373304
1697,2,287,NA,NA,1,120,167,NA,NA
1703,10,195,144.833003888847,182.59484228617,3,143,52,39.5948422861699,1.83300388884723
1704,10,189,149.110256661627,163.493544293461,3,127,62,36.4935442934614,22.1102566616267
1705,2,188,130.426575104812,NA,1,157,31,NA,-26.5734248951878
1713,3,226,161.133326675148,3.68164332132369,3,104,122,-100.318356678676,57.1333266751477
1720,40,127,100.392321931581,92.4756349233952,5,127,0,-34.5243650766048,-26.6076780684186
1733,4,182,142.901012931598,170.229429847766,3,112,70,58.2294298477661,30.9010129315978
1736,8,206,151.256480560643,194.946209051509,2,163,43,31.9462090515095,-11.7435194393572
1750,42,35,-83.2949163715894,-73.0174452025967,3,112,-77,-185.017445202597,-195.294916371589
1752,2,208,NA,NA,1,194,14,NA,NA
1754,52,186,144.032226452177,181.398744143718,1,169,17,12.3987441437176,-24.9677735478235
1756,3,202,80.8902801064039,194.182871676108,1,125,77,69.182871676108,-44.1097198935961
1769,4,176,102.147061111746,68.91514202485,2,167,9,-98.08485797515,-64.852938888254
1770,23,190,133.467062439135,186.787315163978,1,108,82,78.7873151639779,25.4670624391355
1771,14,262,257.429000393976,257.6399497341,2,168,94,89.6399497341001,89.4290003939756
1772,8,224,153.990307505445,212.599143389624,2,144,80,68.5991433896245,9.99030750544537
1773,8,229,186.692570987454,219.724105402737,2,200,29,19.724105402737,-13.3074290125463
1783,4,160,136.123538261379,24.8489799328194,2,104,56,-79.1510200671806,32.123538261379
1785,2,194,87.1968370466622,NA,2,157,37,NA,-69.8031629533378
1786,265,111,81.628723731169,73.6444446366232,1,171,-60,-97.3555553633768,-89.371276268831
1787,14,176,137.186239453105,160.705111843437,4,137,39,23.7051118434373,0.186239453105344
1803,54,162,153.103630172251,140.97385617653,3,153,9,-12.02614382347,0.103630172250917
1804,10,196,139.009478413199,180.202234001319,1,208,-12,-27.7977659986808,-68.9905215868008
1818,23,206,151.345411090074,203.513276269415,4,131,75,72.5132762694149,20.3454110900738
1820,3,209,161.644775184167,NA,1,180,29,NA,-18.3552248158327
1835,2,223,NA,NA,3,152,71,NA,NA
1836,6,230,197.257412329406,204.483235842005,1,172,58,32.4832358420052,25.2574123294062
1837,3,245,223.261950456711,154.581438182851,1,177,68,-22.4185618171487,46.261950456711
1852,11,194,126.131782653024,192.951930108164,3,188,6,4.95193010816405,-61.8682173469755
1868,6,229,203.306998200337,195.250976536567,1,150,79,45.2509765365674,53.3069982003372
1885,3,192,152.571730967422,144.870239816374,3,184,8,-39.1297601836257,-31.4282690325783
1886,9,190,156.396770540495,181.2450071073,1,154,36,27.2450071072997,2.39677054049471
1899,4,191,136.453441433082,131.161065596051,1,152,39,-20.8389344039488,-15.5465585669183
1900,6,192,143.565978527564,151.901738901749,1,211,-19,-59.098261098251,-67.4340214724364
1916,3,196,145.238519330378,-92.9751945213208,1,189,7,-281.975194521321,-43.7614806696218
1917,3,194,133.460090737578,-66.6803778752911,1,210,-16,-276.680377875291,-76.5399092624217
1918,4,217,206.201457684158,196.732913362107,1,185,32,11.7329133621066,21.2014576841585
1932,3,209,181.379696722366,106.631468256097,1,189,20,-82.3685317439031,-7.62030327763389
1949,11,214,188.174448776851,188.28997852787,5,140,74,48.2899785278699,48.1744487768512
2014,2,203,117.070698048968,NA,1,178,25,NA,-60.929301951032
2064,2,223,NA,NA,1,154,69,NA,NA
2080,8,196,120.655109429967,189.798939139352,1,169,27,20.7989391393522,-48.3448905700329
2113,5,202,165.191109863224,130.35602377338,1,176,26,-45.64397622662,-10.8088901367763
